run_id,family,mode,binary_run_label,window_label,nodes,seed,window_start_s,window_end_s,post_activation,app_tx_delta,app_rx_delta,app_missed_delta,app_reporting_nodes,radio_tx_count,radio_bytes,radio_interfered_count,unique_radio_senders,attacker_node16_radio_tx,root_node1_radio_tx,dio_rx_count,dio_tx_count,dis_rx_count,dis_tx_count,dao_rx_count,dao_tx_count,parent_switch_count,parent_switch_to_root_count,parent_switch_to_nonroot_count,unique_parent_targets,parent_found_events,no_parent_events,significant_rank_update_count,unique_dio_senders,unique_dio_receivers,dio_rx_rank_min,dio_rx_rank_mean,dio_rx_rank_max,dio_rx_rank_range,dio_rx_nonroot_count,dio_rx_nonroot_rank_min,dio_rx_nonroot_rank_mean,dio_rx_nonroot_rank_max,dio_rx_nonroot_rank_range,dio_rx_low_rank_nonroot_count,unique_low_rank_nonroot_senders,dio_tx_rank_mean,state_nonroot_rank_min,state_nonroot_rank_mean,state_nonroot_rank_max,state_nonroot_rank_range,state_low_rank_nonroot_pairs,state_low_rank_nonroot_senders,state_receivers_exposed_low_rank_nonroot,own_state_sample_count,own_rank_min,own_rank_mean,own_rank_max,own_rank_range,own_neighbor_count_mean,own_neighbor_count_max,topology_edge_count,topology_unique_parents,topology_max_parent_fanout,topology_root_direct_children,topology_mean_depth,topology_max_depth,sinkhole_attack_enabled_events,sinkhole_advertised_rank_events,blackhole_attack_enabled_events,blackhole_drop_events
BH_ATTACK_N16_SEED123456,blackhole,attack,1,0,16,123456,0,60,0,0,0,0,0,623,27507,1290,16,188,90,333,96,51,14,15,30,15,1,14,5,15,15,0,16,16,128,12093.4715,65535,65407,329,258,12238.9483,65535,65277,0,0,40482.2396,258,1151.112,65535,65277,0,0,0,15,338,688.0667,899,561,2.4667,5,0,0,0,0,0.0,0,0,0,0,0
BH_ATTACK_N16_SEED123456,blackhole,attack,1,0,16,123456,60,120,0,0,0,0,0,1069,40249,2128,16,337,171,294,45,0,0,0,0,0,0,0,0,0,0,0,16,16,128,590.6122,811,683,293,256,592.1911,811,555,0,0,577.2667,256,539.7364,697,441,0,0,0,16,128,577.1875,820,692,7.9375,13,15,5,4,1,2.8667,4,0,0,0,0
BH_ATTACK_N16_SEED123456,blackhole,attack,1,0,16,123456,120,180,0,140,140,0,14,1046,38768,2088,16,337,172,135,23,0,0,0,0,0,0,0,0,0,0,0,15,16,256,512.8222,668,412,135,256,512.8222,668,412,0,0,503.1304,256,517.4341,693,437,0,0,0,16,128,499.9375,692,564,8.125,13,15,5,4,1,2.8667,4,0,0,0,0
BH_ATTACK_N16_SEED123456,blackhole,attack,1,0,16,123456,180,240,0,40,40,0,4,1029,37392,2001,16,333,168,19,15,0,0,0,0,0,0,0,0,0,0,0,15,10,128,438.6842,657,529,18,256,455.9444,657,401,0,0,487.4,256,516.2636,693,437,0,0,0,16,128,485.0,662,534,8.125,13,15,5,4,1,2.8667,4,0,0,0,0
BH_ATTACK_N16_SEED123456,blackhole,attack,1,1,16,123456,240,300,1,100,92,0,10,375,13768,901,16,86,2,128,24,0,0,0,0,0,0,0,0,0,0,0,14,15,384,503.8672,646,262,128,384,503.8672,646,262,0,0,510.0,256,501.845,693,437,0,0,0,16,128,477.3125,649,521,8.125,13,15,5,4,1,2.8667,4,0,0,1,82
BH_ATTACK_N16_SEED123456,blackhole,attack,1,1,16,123456,300,360,1,130,4,0,13,366,12743,899,15,85,0,19,13,0,0,0,0,0,0,0,0,0,0,0,11,10,384,566.4737,642,258,19,384,566.4737,642,258,0,0,532.0769,256,500.4341,645,389,0,0,0,16,128,473.25,643,515,8.125,13,15,5,4,1,2.8667,4,0,0,0,85
BH_ATTACK_N16_SEED123456,blackhole,attack,1,1,16,123456,360,420,1,10,0,0,1,352,12028,850,15,85,0,8,8,0,0,0,0,0,0,0,0,0,0,0,7,5,384,464.0,640,256,8,384,464.0,640,256,0,0,464.0,256,500.2946,645,389,0,0,0,16,128,472.625,650,522,8.125,13,15,5,4,1,2.8667,4,0,0,0,84
BH_ATTACK_N16_SEED123456,blackhole,attack,1,1,16,123456,420,480,1,140,0,0,14,368,13313,890,16,84,1,76,22,0,0,0,0,0,0,0,0,0,0,0,15,16,128,486.7632,642,514,75,256,491.5467,642,386,0,0,483.0,256,498.9535,645,389,0,0,0,16,128,472.25,644,516,8.125,13,15,5,4,1,2.8667,4,0,0,0,83
BH_ATTACK_N16_SEED123456,blackhole,attack,1,1,16,123456,480,540,1,40,0,0,4,360,12636,864,15,85,0,58,13,0,0,0,0,0,0,0,0,0,0,0,9,15,384,551.7241,640,256,58,384,551.7241,640,256,0,0,561.2308,256,498.1628,640,384,0,0,0,16,128,472.0,640,512,8.125,13,15,5,4,1,2.8667,4,0,0,0,85
BH_ATTACK_N16_SEED234567,blackhole,attack,1,0,16,234567,0,60,0,0,0,0,0,611,27199,1316,16,184,88,354,100,31,11,15,30,15,1,14,8,15,15,0,16,16,128,11777.1073,65535,65407,350,256,11910.24,65535,65279,0,0,40185.35,256,1150.7705,65535,65279,0,0,0,15,338,687.4,903,565,2.4667,7,0,0,0,0,0.0,0,0,0,0,0
